title,text
Testosterone Nasal Gel,"Testosterone nasal gel is used to treat symptoms of low testosterone in adult men who have hypogonadism (a condition in which the body does not produce enough natural testosterone). Testosterone nasal gel is used only for men with low testosterone levels caused by certain medical conditions, including disorders of the testicles, pituitary gland, (a small gland in the brain), or hypothalamus (a part of the brain) that cause hypogonadism. Your doctor will order certain lab tests to check your testosterone levels to see if they are low before you begin to use testosterone. Testosterone should not be used to treat the symptoms of low testosterone in men who have low testosterone due to aging ('age-related hypogonadism'). Testosterone is in a class of medications called androgenic hormones. Testosterone is a hormone produced by the body that contributes to the growth, development, and functioning of the male sexual organs and typical male characteristics. Testosterone works by replacing testosterone that is normally produced by the body."
Clonidine Transdermal Patch,Transdermal clonidine is used alone or in combination with other medications to treat high blood pressure. Clonidine is in a class of medications called centrally acting alpha-agonist hypotensive agents. It works by decreasing your heart rate and relaxing the blood vessels so that blood can flow more easily through the body.
Dextroamphetamine and Amphetamine,"The combination of dextroamphetamine and amphetamine (Adderall, Adderall XR, Mydayis) is used as part of a treatment program to control symptoms of attention deficit hyperactivity disorder (ADHD; more difficulty focusing, controlling actions, and remaining still or quiet than other people who are the same age). Adderall is used to treat ADHD in adults and children 3 years of age and older. Adderall XR is used to treat ADHD in adults and children 6 years of age and older. Mydayis is used to treat ADHD in adults and children 13 years of age and older. Dextroamphetamine and amphetamine (Adderall) is also used to treat narcolepsy (a sleep disorder that causes excessive daytime sleepiness and sudden attacks of sleep) in adults and children 12 years of age and older. The combination of dextroamphetamine and amphetamine is in a class of medications called central nervous system stimulants. It works by changing the amounts of certain natural substances in the brain."
Sirolimus (with albumin) Injection,Sirolimus (with albumin) injection is used to treat a certain type of epithelioid cell tumor (soft tissue cancer that can form in any part of the body) that has spread to nearby tissues or to other parts of the body or can not be removed by surgery. Sirolimus is in a class of medications called kinase inhibitors. It works by blocking the action of the abnormal protein that tells the cancer cells to multiply. This may help slow the growth of tumors.
Hydrocortisone Rectal,"Rectal hydrocortisone is used along with other medications to treat proctitis (swelling in the rectum) and ulcerative colitis (a condition which causes swelling and sores in the lining of the large intestine and rectum). It is also used to relieve itching and swelling from hemorrhoids and other rectal problems. Hydrocortisone is in a class of medications called corticosteroids. It works by activating natural substances in the skin to reduce swelling, redness, and itching."
Zafirlukast,Zafirlukast is used to prevent asthma symptoms. Zafirlukast is in a class of medications called leukotriene receptor antagonists (LTRAs). It works by blocking the action of certain natural substances that cause swelling and tightening of the airways.
Diazepam Nasal Spray,Diazepam nasal spray is used for emergency situations to stop cluster seizures (episodes of increased seizure activity) in adults and children 6 years of age and older who are taking other medications to treat epilepsy (seizures). Diazepam is in a class of medications called benzodiazepines. It works by calming abnormal overactivity in the brain.
Palonosetron Injection,"Palonosetron injection is used to prevent nausea and vomiting that may occur within 24 hours after receiving cancer chemotherapy or surgery. It is also used to prevent delayed nausea and vomiting that may occur several days after receiving certain chemotherapy medications. Palonosetron injection is in a class of medications called 5-HT3receptor antagonists. It works by blocking the action of serotonin, a natural substance that may cause nausea and vomiting."
Sulfinpyrazone,"Sulfinpyrazone is used to treat gouty arthritis. It works by lowering the amount of uric acid in your blood, preventing gout attacks. The drug helps prevent attacks but will not treat an attack once it has started."
Irinotecan Lipid Complex Injection,Irinotecan lipid complex is used in combination with other medications to treat pancreatic cancer that has spread to other parts of the body that has worsened after treatment with other chemotherapy medications. Irinotecan lipid complex is in a class of antineoplastic medications called topoisomerase I inhibitors. It works by stopping the growth of cancer cells.
Tretinoin Topical,"Tretinoin (Altreno, Atralin, Avita, Retin-A) is used to treat acne. Tretinoin is also used to reduce fine wrinkles (Refissa and Renova) and to improve spotty discoloration (Renova) and rough feeling skin (Renova) when used along with other skin care and sunlight avoidance programs. Tretinoin is in a class of medications called retinoids. It works by promoting peeling of affected skin areas and unclogging pores."
Dolasetron,"Dolasetron is used to prevent nausea and vomiting caused by cancer chemotherapy. Dolasetron is in a class of medications called serotonin 5-HT3receptor antagonists. It works by blocking the action of serotonin, a natural substance that may cause nausea and vomiting."
Denileukin Diftitox Injection,"Denileukin diftitox is used to treat cutaneous T-cell lymphoma (CTCL, a group of cancers of the immune system that first appear as skin rashes) in people whose disease has not improved, has gotten worse, or has come back after taking other medications. Denileukin diftitox is in a class of medications called cytotoxic proteins. It works by killing cancer cells."
Doxepin Topical,"Doxepin topical is used to relieve itching of the skin caused by eczema. Doxepin is in a class of medications called topical antipruritics. It may work by blocking histamine, a substance in the body that causes certain symptoms, such as itching."
Spironolactone and Hydrochlorothiazide,"The combination of spironolactone and hydrochlorothiazide is used to treat high blood pressure. This medication is also used to treat patients with edema (fluid retention) caused by various conditions, including heart, liver, or kidney disease. Spironolactone is in a class of medications called aldosterone receptor antagonists. It causes the kidneys to eliminate unneeded water and sodium from the body into the urine, but reduces the loss of potassium from the body. Hydrochlorothiazide is in a class of medications called diuretics (''water pills''). It works by causing the kidneys to get rid of unneeded water and salt from the body into the urine."
Halobetasol Topical,"Halobetasol topical is used to treat redness, swelling, itching, and discomfort of various skin conditions in adults and children 12 years of age and older, including plaque psoriasis (a skin disease in which red, scaly patches form on some areas of the body) and eczema (a skin disease that causes the skin to be dry and itchy and to sometimes develop red, scaly rashes).  Halobetasol is in a class of medications called corticosteroids. It works by activating natural substances in the skin to reduce swelling, redness, and itching."
Betamethasone Topical,"Betamethasone topical is used to treat the itching, redness, dryness, crusting, scaling, inflammation, and discomfort of various skin conditions, including psoriasis (a skin disease in which red, scaly patches form on some areas of the body) and eczema (a skin disease that causes the skin to be dry and itchy and to sometimes develop red, scaly rashes). Betamethasone is in a class of medications called corticosteroids. It works by activating natural substances in the skin to reduce swelling, redness, and itching."
Chlorpropamide,"Chlorpropamide is used along with diet and exercise, and sometimes with other medications, to treat type 2 diabetes (condition in which the body does not use insulin normally and, therefore, cannot control the amount of sugar in the blood). Chlorpropamide is in a class of medications called sulfonylureas. Chlorpropamide lowers blood sugar by causing the pancreas to produce insulin (a natural substance that is needed to break down sugar in the body) and helping the body use insulin efficiently. This medication will only help lower blood sugar in people whose bodies produce insulin naturally. Chlorpropamide is not used to treat type 1 diabetes (condition in which the body does not produce insulin and, therefore, cannot control the amount of sugar in the blood) or diabetic ketoacidosis (a serious condition that may occur if high blood sugar is not treated)."
Gentamicin Ophthalmic,Ophthalmic gentamicin is used to treat certain eye infections. Gentamicin is in a class of medications called antibiotics. It works by killing the bacteria that cause infection.
Lorazepam,Lorazepam is used to relieve anxiety. Lorazepam is also used to treat insomnia caused by anxiety or temporary situational stress. Lorazepam is in a class of medications called benzodiazepines. It works by slowing activity in the brain to allow for relaxation.
Methsuximide,Methsuximide is used to control absence seizures (petit mal; a type of seizure in which there is a very short loss of awareness during which the person may stare straight ahead or blink his eyes and does not respond to others) that cannot be treated with other medications. Methsuximide is in a class of medications called anticonvulsants. It works by decreasing abnormal electrical activity in the brain.
Imatinib,"Imatinib is used to treat certain types of leukemia (cancer that begins in the white blood cells) and other cancers and disorders of the blood cells. Imatinib is also used to treat certain types of gastrointestinal stromal tumors (GIST; a type of tumor that grows in the walls of the digestive passages and may spread to other parts of the body). Imatinib is also used to treat dermatofibrosarcoma protuberans (a tumor that forms under the top layer of skin) when the tumor cannot be removed surgically, has spread to other parts of the body, or has come back after surgery. Imatinib is in a class of medications called kinase inhibitors. It works by blocking the action of the abnormal protein that signals cancer cells to multiply. This helps stop the spread of cancer cells."
"Emtricitabine, Rilpivirine, and Tenofovir","The combination of emtricitabine, rilpivirine, and tenofovir is used to treat HIV in adults and children who weigh at least 77 pounds (35 kilograms). Emtricitabine, rilpivirine, and tenofovir are in a class of medications called nucleoside and nucleotide reverse transcriptase inhibitors (NRTIs). They work by slowing the spread of HIV in the body. Although emtricitabine, rilpivirine, and tenofovir will not cure HIV, these medications may decrease your chance of developing acquired immunodeficiency syndrome (AIDS) and HIV-related illnesses such as serious infections or cancer. Taking these medications along with practicing safer sex and making other lifestyle changes may decrease the risk of getting or transmitting the HIV virus to other people."
Enfortumab vedotin-ejfv Injection,"Enfortumab vedotin-ejfv injection is used alone or in combination with pembrolizumab (Keytruda) to treat urothelial cancer (cancer of the lining of the bladder and other parts of the urinary tract) that has spread to nearby tissues or other parts of the body or cannot be removed by surgery, and has worsened after treatment with other chemotherapy medications or if these chemotherapy medications cannot be used for treatment. Enfortumab vedotin-ejfv injection is in a class of medications called monoclonal antibodies. It works by helping your immune system to slow or stop the growth of cancer cells."
Foscarnet Injection,"Foscarnet injection is used alone or with ganciclovir (Cytovene) to treat cytomegalovirus (CMV) retinitis (an eye infection that can cause blindness) in people who have human immunodeficiency virus (HIV) infection. Foscarnet injection is also used to treat herpes simplex virus (HSV) infections of the skin and mucus membranes (mouth, anus) in people whose immune system is not working normally and when treatment with acyclovir did not help. Foscarnet is in a class of medications called antivirals. It works by slowing the growth of CMV and HSV. Foscarnet controls CMV retinitis and HSV infections of the skin and mucus membranes but does not cure these infections."
Quinine,Quinine is used alone or with other medications to treat malaria (a serious or life-threatening illness that is spread by mosquitos in certain parts of the world). Quinine should not be used to prevent malaria. Quinine is in a class of medications called antimalarials. It works by killing the organisms that cause malaria.
Doripenem Injection,"Doripenem injection is used to treat serious infections of the urinary tract, kidney, and abdomen that are caused by bacteria. Doripenem injection is not approved by the Food and Drug Administration (FDA) to treat pneumonia that developed in people who were on a ventilator in a hospital. Doripenem injection is in a class of medications called carbapenem antibiotics. It works by killing bacteria."
Panobinostat,"Panobinostat is used in combination with bortezomib (Velcade) and dexamethasone to treat people with multiple myeloma (a type of cancer of the bone marrow) who have already been treated two other medications, including bortezomib (Velcade). Panobinostat is in a class of medications called histone deacetylase (HDAC) inhibitors. It works by killing cancer cells."
Celecoxib,"Celecoxib is used to relieve pain, tenderness, swelling and stiffness caused by osteoarthritis (arthritis caused by a breakdown of the lining of the joints), rheumatoid arthritis (arthritis caused by swelling of the lining of the joints), and ankylosing spondylitis (arthritis that mainly affects the spine). Celecoxib is also used to treat juvenile rheumatoid arthritis (a type of arthritis that affects children) in children 2 years of age and older. Celecoxib is also used to treat painful menstrual periods and to relieve other types of short-term pain including pain caused by injuries, surgery and other medical or dental procedures, or medical conditions that last for a limited time.   Celecoxib is in a class of NSAIDs called COX-2 inhibitors. It works by stopping the body's production of a substance that causes pain and inflammation."
Peginterferon Alfa-2b Injection (Sylatron),Peginterferon alfa-2b injection is used in people with malignant melanoma (a life-threatening cancer that begins in certain skin cells) who have had surgery to remove the cancer. This medication is used to reduce the chance that malignant melanoma will come back and must be started within 84 days of the surgery. Peginterferon alfa-2b injection is in a class of medications called interferons. It works by stopping the growth of cancer cells to reduce the chance of malignant melanoma coming back.
Ustekinumab Injection,"Ustekinumab injection is used to treat moderate to severe plaque psoriasis (skin disease in which red, scaly patches form on some areas of the body) in adults and children 6 years or older who may benefit from medications or phototherapy (a treatment that involves exposing the skin to ultraviolet light). It is also used alone or in combination with methotrexate (Otrexup, Rasuvo, Trexall) to treat psoriatic arthritis (a condition that causes joint pain and swelling and scales on the skin) in adults. Ustekinumab injection is also used to treat Crohn's disease (a condition in which the body attacks the lining of the digestive tract, causing pain, diarrhea, weight loss, and fever) in adults. Ustekinumab injection is also used to treat ulcerative colitis (a condition which causes swelling and sores in the lining of the colon [large intestine] and rectum) in adults. Ustekinumab injection is in a class of medications called monoclonal antibodies. It works by stopping the action of certain cells in the body that cause the symptoms of plaque psoriasis, psoriatic arthritis, Crohn's disease, and ulcerative colitis."
Alirocumab Injection,"Alirocumab injection is used along with diet, alone or in combination with other cholesterol-lowering medications (HMG-CoA reductase inhibitors [statins] or ezetimibe [Zetia, in Liptruzet, in Vytorin]), in adults who have familial heterozygous hypercholesterolemia (an inherited condition in which cholesterol cannot be removed from the body normally) to decrease the amount of low-density lipoprotein (LDL) cholesterol ('bad cholesterol') in the blood. It is also used in adults with cardiovascular disease to lower the risk of stroke, heart attack, or serious or life-threatening chest pain. Alirocumab injection is also used with other medications to treat homozygous familial hypercholesterolemia (HoFH; an inherited condition in which cholesterol cannot be removed from the body normally) in adults to decrease LDL cholesterol. Alirocumab injection is in a class of medications called proprotein convertase subtilisin kexin type 9 (PCSK9) inhibitor monoclonal antibodies. It works by blocking the production of LDL cholesterol in the body therefore decreasing the amount of cholesterol that may build up on the walls of the arteries."
Ixekizumab Injection,"Ixekizumab injection is used to treat moderate to severe plaque psoriasis (a skin disease in which red, scaly patches form on some areas of the body) in adults and children 6 years of age and older whose psoriasis is too severe to be treated by topical medications alone. It is also used alone or in combination with certain medications such as methotrexate (Rasuvo, Trexall, others) to treat psoriatic arthritis (a condition that causes joint pain and swelling and scales on the skin) in adults. Ixekizumab injection is also used to treat ankylosing spondylitis (a condition in which the body attacks the joints of the spine and other areas, causing pain and joint damage) in adults. It is also used to treat active non-radiographic axial spondyloarthritis (a condition in which the body attacks the joints of the spine and other areas causing pain and signs of swelling, but without changes seen on x-ray) in adults, Ixekizumab injection is in a class of medications called monoclonal antibodies. It works by blocking the action of a certain natural substance in the body that causes the symptoms of psoriasis."
Phentermine and Topiramate,"Phentermine and topiramate is used to help adults and children aged 12 years or older who are obese, or certain adults who are overweight and have weight-related medical problems to lose weight and to keep from gaining back that weight. Phentermine and topiramate must be used along with a reduced calorie diet and exercise plan. Phentermine is in a class of medications called anorectics. It works by decreasing appetite. Topiramate is in a class of medications called anticonvulsants. It works by decreasing appetite and by causing feelings of fullness to last longer after eating."
Meclizine,"Meclizine is used to prevent and treat nausea, vomiting, and dizziness caused by motion sickness. It is most effective if taken before symptoms appear."
Ganaxolone,Ganaxolone is used to treat seizures associated with cyclin-dependent kinase-like 5 deficiency disorder (CDKL5; an inherited condition that begins in early childhood and causes seizures and developmental delays) in adults and children 2 years of age and older. Ganaxolone is in a class of medications called anticonvulsants. It works by decreasing abnormal excitement in the brain.
Primaquine,Primaquine is used alone or with another medication to treat malaria (a serious infection that is spread by mosquitoes in certain parts of the world and can cause death) and to prevent the disease from coming back in people that are infected with malaria. Primaquine is in a class of medications called antimalarials. It works by killing the organisms that cause malaria.
Aliskiren,"Aliskiren is used alone or in combination with some medications to treat high blood pressure. Aliskiren is in a class of medications called direct renin inhibitors. It works by decreasing certain natural chemicals that tighten the blood vessels, so blood vessels relax and the heart can pump blood more efficiently."
Diethylpropion,"Diethylpropion decreases appetite. It is used on a short-term basis (a few weeks), in combination with diet, to help you lose weight."
"Aspirin, Butalbital, and Caffeine",This combination of drugs is used to relieve tension headaches.
Meropenem and Vaborbactam Injection,"Meropenem and vaborbactam injection is used to treat serious urinary tract infections, including kidney infections, that are caused by bacteria. Meropenem is in a class of medications called carbapenem antibiotics. It works by killing bacteria. Vaborbactam is in a class of medications called beta-lactamase inhibitors. It works by preventing bacteria from destroying meropenem."
IncobotulinumtoxinA Injection,"IncobotulinumtoxinA injection is used to treat chronic sialorrhea (ongoing drooling or excessive salivation) in adults and children 2 years of age and older. It is also used to treat spasticity (muscle stiffness and tightness) of muscles in the arms in children 2 years of age or older who do not have cerebral palsy (condition that causes difficulty with movement and balance). IncobotulinumtoxinA injection is also used to treat spasticity (muscle stiffness and tightness) of muscles in the armsand blepharospasm (uncontrollable tightening of the eyelid muscles that may cause blinking, squinting, and abnormal eyelid movements) in adults. It is also used to relieve the symptoms of cervical dystonia (spasmodic torticollis; uncontrollable tightening of the neck muscles that may cause neck pain and abnormal head positions) and to temporarily smooth frown lines (wrinkles between the eyebrows) in adults. IncobotulinumtoxinA injection is in a class of medications called neurotoxins. When incobotulinumtoxinA injection is injected into saliva glands, it blocks the nerve signals that causes excessive saliva production. When incobotulinumtoxinA injection is injected into a muscle, it blocks the nerve signals that cause uncontrollable tightening and movements of the muscle."
Tiagabine,"Tiagabine is used in combination with other medications to treat partial seizures (a type of epilepsy). Tiagabine is in a class of medications called anticonvulsants. It is not known exactly how tiagabine works, but it increases the amount of natural chemicals in the brain that prevent seizure activity."
Lovastatin,"Lovastatin is used together with diet, weight-loss, and exercise to reduce the risk of heart attack and stroke and to decrease the chance that heart surgery will be needed in people who have heart disease or who are at risk of developing heart disease. Lovastatin is also used to decrease the amount of cholesterol (a fat-like substance) and other fatty substances in the blood. Lovastatin is in a class of medications called HMG CoA reductase inhibitors (statins). It works by slowing the production of cholesterol in the body to decrease the amount of cholesterol that may build up on the walls of the arteries and block blood flow to the heart, brain, and other parts of the body."
Rilonacept Injection,"Rilonacept injection is used to treat cryopyrin-associated periodic syndromes (CAPS; inherited conditions in which the body attacks its own tissues causing inflammation, joint and muscle pain, rash or other skin lesions, fever and chills, eye redness or pain, and fatigue), including familial cold autoinflammatory syndrome (FCAS), and Muckle-Wells syndrome (MWS) in adults and children 12 years of age or older. Rilonacept injection is also used to treat deficiency of interleukin-1 receptor antagonist (DIRA; a disorder in which the body attacks its own tissues causing inflammation and damages bones, nervous system, skin, lungs, liver, and joints) in adults and children who weigh at least 22 pounds (10 kg). Rilonacept injection is also used to treat recurrent pericarditis (swelling of the sac around the heart) and also to prevent the return of pericarditis in adults and children 12 years of age or older. Rilonacept is in a class of medications called interleukin antagonists. It works by blocking the activity of interleukin, a substance in the body that causes inflammation."
Epinastine Ophthalmic,"Ophthalmic epinastine is used to prevent itching of the eyes caused by allergic conjunctivitis (a condition in which the eyes become itchy, swollen, red, and teary when they are exposed to certain substances in the air). Epinastine is in a class of medications called antihistamines. It works by preventing the release of natural substances which cause allergic reactions in the eyes."
Piroxicam,"Piroxicam is used to relieve pain, tenderness, swelling, and stiffness caused by osteoarthritis (arthritis caused by a breakdown of the lining of the joints) and rheumatoid arthritis (arthritis caused by swelling of the lining of the joints). Piroxicam is in a class of medications called NSAIDs. It works by stopping the body's production of a substance that causes pain, fever, and inflammation."
Amiloride and Hydrochlorothiazide,The combination of amiloride and hydrochlorothiazide is used alone or in combination with other medications to treat high blood pressure and heart failure in patients who have low amounts of potassium in their bodies or for whom low potassium levels in the body could be dangerous. Amiloride and hydrochlorothiazide are in a class of medications called diuretics ('water pills'). They work by causing the kidneys to get rid of unneeded water and salt from the body into the urine.
Deoxycholic Acid Injection,Deoxycholic acid injection is used to improve the appearance and profile of moderate to severe submental fat ('double chin'; fatty tissue located under the chin). Deoxycholic acid injection is in a class of medications called cytolytic medications. It works by breaking down cells in fatty tissue.
Dexmethylphenidate,"Dexmethylphenidate is used as part of a treatment program to control symptoms of attention deficit hyperactivity disorder (ADHD; more difficulty focusing, controlling actions, and remaining still or quiet than other people who are the same age) in adults and children. Dexmethylphenidate is in a class of medications called central nervous system (CNS) stimulants. It works by increasing the amounts of certain natural substances in the brain."
Naltrexone and Bupropion,"The combination of naltrexone and bupropion is used along with a reduced calorie diet and exercise plan to help adults who are obese, or who are overweight and have weight-related medical problems, to lose weight and then to keep from gaining back that weight. Naltrexone is in a class of medications called opiate antagonists. Bupropion is in a class of medications called antidepressants. These medications work together on two areas of the brain, the hunger center and the reward system, to reduce appetite and help control cravings."
Nilotinib,Nilotinib is used to treat certain types of chronic myeloid leukemia (CML; a type of cancer of the white blood cells) who have recently found to have this condition in adults and children 1 year of age and older. It is also used to treat certain types of CML in adults whose disease could not be treated successfully with imatinib (Gleevec) or adults who cannot take imatinib because of side effects. Nilotinib is also used to treat certain types of CML in children 1 year of age or older whose disease could not be treated successfully with other tyrosine kinase inhibitor therapies or who cannot take these medications because of side effects. Nilotinib is in a class of medications called kinase inhibitors. It works by blocking the action of the abnormal protein that signals cancer cells to multiply. This helps to stop or slow the spread of cancer cells.
Sodium Oxybate,"Sodium oxybate is used to prevent attacks of cataplexy (episodes of muscle weakness that begin suddenly and last for a short time) and excessive daytime sleepiness in adults and children 7 years of age and older who have narcolepsy (a sleep disorder that may cause extreme sleepiness, sudden uncontrollable urge to sleep during daily activities, and cataplexy). Sodium oxybate is in a class of medications called central nervous system depressants. Sodium oxybate works to treat narcolepsy and cataplexy by reducing activity in the brain."
Zonisamide,Zonisamide is used in combination with other medications to treat certain types of seizures. Zonisamide is in a class of medications called anticonvulsants. It works by decreasing abnormal electrical activity in the brain.
Desmopressin,"Desmopressin is used to control the symptoms of a certain type of diabetes insipidus ('water diabetes'; condition in which the body produces an abnormally large amount of urine). Desmopressin is also used to control excessive thirst and the passage of an abnormally large amount of urine that may occur after a head injury or after certain types of surgery. Desmopressin is also used to control bed-wetting. Desmopressin is in a class of medications called hormones. It works by replacing vasopressin, a hormone that is normally produced in the body to help balance the amount of water and salt."
Sertaconazole Topical,Sertaconazole is used to treat tinea pedis (athlete's foot; fungal infection of the skin on the feet and between the toes). Sertaconazole is in a class of medications called imidazoles. It works by slowing the growth of fungi that cause infection.
Ivacaftor,"Ivacaftor is used to treat certain types of cystic fibrosis (an inborn disease that causes problems with breathing, digestion, and reproduction) in adults and children 1 month of age and older. Ivacaftor should be used only in people with a certain genetic make-up. Your doctor may order a blood test to help decide if this medication is right for you. Ivacaftor is in a class of medications called cystic fibrosis transmembrane conductance regulator (CFTR) potentiators. It works by improving the function of a protein in the body to decrease the build-up of thick mucus in the lungs and improving other symptoms of cystic fibrosis."
Secobarbital,Secobarbital is used on a short-term basis to treat insomnia (difficulty falling asleep or staying asleep). It is also used to relieve anxiety before surgery. Secobarbital is in a class of medications called barbiturates. It works by slowing activity in the brain.
Alemtuzumab Injection (Multiple Sclerosis),Alemtuzumab is in a class of medications called monoclonal antibodies. It works by decreasing the action of immune cells that may cause nerve damage.
Co-trimoxazole,"Co-trimoxazole is used to treat certain bacterial infections, such as pneumonia (a lung infection), bronchitis (infection of the tubes leading to the lungs), and infections of the urinary tract, ears, and intestines. It also is used to treat 'travelers' diarrhea. Co-trimoxazole is a combination of trimethoprim and sulfamethoxazole and is in a class of medications called sulfonamides. It works by stopping the growth of bacteria. Antibiotics will not kill viruses that can cause colds, flu, or other viral infections."
Meloxicam Injection,"Meloxicam injection is used alone or in combination with other pain medications for the short-term relief of moderate to severe pain in adults, usually after surgery. Meloxicam is in a class of medications called NSAIDs. It works by stopping the body's production of a substance that causes pain, fever, and inflammation."
Talc Intrapleural,Talc is used to prevent malignant pleural effusion (buildup of fluid in the chest cavity in people who have cancer or other serious illnesses) in people who have already had this condition. Talc is in a class of medications called sclerosing agents. It works by irritating the lining of the chest cavity so that the cavity closes and there is no space for fluid.
Famotidine,"Prescription famotidine is used to treat ulcers (sores on the lining of the stomach or small intestine); gastroesophageal reflux disease (GERD, a condition in which backward flow of acid from the stomach causes heartburn and injury of the esophagus [tube that connects the mouth and stomach]); and conditions where the stomach produces too much acid, such as Zollinger-Ellison syndrome (tumors in the pancreas or small intestine that cause increased production of stomach acid). Over-the-counter famotidine is used to prevent and treat heartburn due to acid indigestion and sour stomach caused by eating or drinking certain foods or drinks. Famotidine is in a class of medications called H2blockers. It works by decreasing the amount of acid made in the stomach."
